flight,sector,eto_hour,eto_minute,eto_second
1,uh,05,35,0
2,uaus,05,44,0
2,uh,06,10,0
3,pv,06,08,0
4,uttup,06,18,0
5,ugw,06,27,0
5,uttup,06,46,0
6,uh,07,12,0
6,ufxf,07,22,0
7,tpth,07,13,0
8,ugw,07,13,0
8,pv,07,22,0
9,uh,07,14,0
9,ufxf,07,26,0
10,uh,07,36,0
10,ufxf,07,46,0
11,ugw,07,39,0
11,pv,07,42,0
12,uh,07,43,0
12,ufxf,07,53,0
13,uttup,07,43,0
13,uttu,07,43,0
14,uaus,07,48,0
15,ugw,07,50,0
15,uttup,08,09,0
15,uttu,08,09,0
16,ugw,07,56,0
16,uttup,08,18,0
17,ufxf,08,08,0
18,uttup,08,12,0
18,uttu,08,12,0
19,ugw,08,16,0
19,pv,08,25,0
20,ufxf,08,17,0
21,uh,08,20,0
21,ufxf,08,24,0
22,uh,08,29,0
22,ufxf,08,40,0
23,ugw,08,48,0
23,uttup,09,07,0
23,uttu,09,07,0
24,ufxf,08,49,0
25,ugw,08,51,0
25,pv,09,09,0
26,uh,08,57,0
26,ufxf,09,07,0
27,uh,08,59,0
27,ufxf,09,11,0
28,ua,08,59,0
28,uaus,08,59,0
29,uh,09,13,0
29,ufxf,09,25,0
30,uh,09,35,0
30,ufxf,09,44,0
31,ufxf,09,48,0
32,pv,09,49,0
33,uttu,10,43,0
34,uh,10,50,0
35,uh,11,17,0
36,ua,11,39,0
37,ua,13,0,0
38,ugw,13,02,0
39,ugw,13,22,0
39,ua,13,27,0
40,ugw,14,03,0
41,uh,14,08,0
42,ugw,14,38,0
43,ugw,15,00,0
44,uh,15,23,0
45,ugw,15,58,0
46,uaus,17,38,0
47,pv,18,01,0
47,ubdxv,18,01,0
47,ubdx,18,12,0
48,scmd,18,12,0
48,uaus,18,39,0
49,pv,18,17,0
49,ubdxv,18,17,0
49,ubdx,18,28,0
50,tn,18,25,0
51,uh,18,27,0
51,artc,18,53,0
51,aorc,18,53,0
52,scmd,18,39,0
52,uaus,19,04,0
52,smds,19,04,0
52,ugwa,19,17,0
53,uaus,18,59,0
53,scmd,19,20,0
53,smds,19,20,0
54,uh,19,11,0
55,ubdx,19,13,0
55,ubdxv,19,13,0
55,ugw,19,39,0
55,ugwa,19,39,0
55,uttup,19,59,0
56,ubdx,19,15,0
56,ubdxv,19,15,0
56,pv,19,54,0
56,aorc,20,06,0
57,ubdx,19,19,0
57,ubdxv,19,19,0
57,ugw,19,46,0
57,ugwa,19,46,0
58,ubdx,19,19,0
58,ubdxv,19,19,0
