flight,sector,eto_hour,eto_minute,eto_second
1,uh,05,35,00,
2,uaus,05,44,00,
2,uh,06,10,00,
3,pv,06,08,00,
4,uttup,06,18,00,
5,ugw,06,27,00,
5,uttup,06,46,00,
6,uh,07,12,00,
6,ufxf,07,22,00,
7,tpth,07,13,00,
8,ugw,07,13,00,
8,pv,07,22,00,
9,uh,07,14,00,
9,ufxf,07,26,00,
10,uh,07,36,00,
10,ufxf,07,46,00,
11,ugw,07,39,00,
11,pv,07,42,00,
12,uh,07,43,00,
12,ufxf,07,53,00,
13,uttup,07,43,00,
13,uttu,07,43,00,
14,uaus,07,48,00,
15,ugw,07,50,00,
15,uttup,08,09,00,
15,uttu,08,09,00,
16,ugw,07,56,00,
16,uttup,08,18,00,
17,ufxf,08,08,00,
18,uttup,08,12,00,
18,uttu,08,12,00,
19,ugw,08,16,00,
19,pv,08,25,00,
20,ufxf,08,17,00,
21,uh,08,20,00,
21,ufxf,08,24,00,
22,uh,08,29,00,
22,ufxf,08,40,00,
23,ugw,08,48,00,
23,uttup,09,07,00,
23,uttu,09,07,00,
24,ufxf,08,49,00,
25,ugw,08,51,00,
25,pv,09,09,00,
26,uh,08,57,00,
26,ufxf,09,07,00,
27,uh,08,59,00,
27,ufxf,09,11,00,
28,ua,08,59,00,
28,uaus,08,59,00,
29,uh,09,13,00,
29,ufxf,09,25,00,
30,uh,09,35,00,
30,ufxf,09,44,00,
31,ufxf,09,48,00,
32,pv,09,49,00,
33,uttu,10,43,00,
34,uh,10,50,00,
35,uh,11,17,00,
36,ua,11,39,00,
37,ua,13,00,00,
38,ugw,13,02,00,
39,ugw,13,22,00,
39,ua,13,27,00,
40,ugw,14,03,00,
41,uh,14,08,00,
42,ugw,14,38,00,
43,ugw,15,00,00,
44,uh,15,23,00,
45,ugw,15,58,00,
46,uaus,17,38,00,
47,pv,18,01,00,
47,ubdxv,18,01,00,
47,ubdx,18,12,00,
48,scmd,18,12,00,
48,uaus,18,39,00,
49,pv,18,17,00,
49,ubdxv,18,17,00,
49,ubdx,18,28,00,
50,tn,18,25,00,
51,uh,18,27,00,
51,artc,18,53,00,
51,aorc,18,53,00,
52,scmd,18,39,00,
52,uaus,19,04,00,
52,smds,19,04,00,
52,ugwa,19,17,00,
53,uaus,18,59,00,
53,scmd,19,20,00,
53,smds,19,20,00,
54,uh,19,11,00,
55,ubdx,19,13,00,
55,ubdxv,19,13,00,
55,ugw,19,39,00,
55,ugwa,19,39,00,
55,uttup,19,59,00,
56,ubdx,19,15,00,
56,ubdxv,19,15,00,
56,pv,19,54,00,
56,aorc,20,06,00,
57,ubdx,19,19,00,
57,ubdxv,19,19,00,
57,ugw,19,46,00,
57,ugwa,19,46,00,
58,ubdx,19,19,00,
58,ubdxv,19,19,00,
58,ugw,19,43,00,
58,ugwa,19,43,00,
59,ubdx,19,28,00,
59,ubdxv,19,28,00,
59,ugw,19,56,00,
59,ugwa,19,56,00,
60,ubdx,19,39,00,
60,ubdxv,19,39,00,
61,ugw,20,31,00,
61,ugwa,20,31,00,
61,ubdx,20,55,00,
61,ubdxv,20,55,00,
62,ugw,20,50,00,
62,ugwa,20,50,00,
62,ubdxv,21,15,00,
